2026-01-03 00:09:36.026 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:09:40.622 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:09:44.691 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:09:48.780 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:09:53.378 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:09:57.495 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:10:01.573 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:10:06.175 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:10:10.271 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:10:14.340 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:10:18.920 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
